channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
1;1;0;-1;1594;2;-1;-1;1594;48.12226833333333;-5.346325;11.600000381469727;2;141.6999969482422;142;0;0;0;-1;120889.03829956;0.0
1;1;0;-1;-1;1;-1;-1;148;48.116096666666664;-5.3392;12.100000381469727;2;144.39999389648438;140;0;0;0;-1;121030.478088378;141.4398
1;1;0;-1;147;6;-1;-1;147;48.11086;-5.333126666666667;11.5;2;140.8000030517578;140;0;0;0;-1;121150.459411621;119.9813
1;1;0;-1;1629;4;-1;-1;1629;48.109091666666664;-5.331051666666666;12.399999618530273;2;147.89999389648438;142;0;0;0;-1;121189.978057861;39.5186
2;1;0;-1;532;2;-1;-1;532;48.107751666666665;-5.32957;12.0;2;142.0;141;0;0;0;-1;121220.717315674;30.7393
1;1;0;-1;-1;3;-1;-1;1629;48.106475;-5.328083333333334;11.600000381469727;2;138.3000030517578;142;0;0;0;-1;121249.977722167;29.2604
1;1;0;-1;147;4;-1;-1;147;48.105488333333334;-5.326991666666666;12.0;2;143.60000610351562;141;0;0;0;-1;121270.458099364;20.4804
1;1;0;-1;1629;2;-1;-1;1629;48.10379666666667;-5.324941666666667;12.800000190734863;2;139.60000610351562;142;0;0;0;-1;121309.977142333;39.519
2;1;0;2240;-1;0;-1;-1;2024;48.103365;-5.324478333333333;11.100000381469727;2;136.89999389648438;142;0;0;0;-1;121320.524597167;10.5475
1;1;0;-1;147;2;-1;-1;147;48.100345;-5.320931666666667;11.5;2;142.10000610351562;141;0;0;0;-1;121390.45828247;69.9337
2;1;0;-1;527;2;-1;-1;528;48.097296666666665;-5.317406666666667;11.899999618530273;2;139.6999969482422;141;0;0;0;-1;121460.602966308;70.1447
1;1;0;-1;-1;7;-1;-1;850;48.096915;-5.316951666666666;11.600000381469727;2;137.3000030517578;140;0;0;0;-1;121469.199554442;8.5966
2;1;0;-1;503;6;-1;-1;504;48.08699166666667;-5.305305;11.699999809265137;2;144.0;143;0;0;0;-1;121699.963562011;230.764
1;1;0;2317;-1;0;-1;-1;1584;48.08574333333333;-5.30392;11.899999618530273;2;144.60000610351562;141;0;0;0;-1;121728.777618407;28.8141
1;1;0;-1;-1;5;-1;-1;1651;48.08047;-5.29771;11.300000190734863;2;140.8000030517578;143;0;0;0;-1;121850.55996704;121.7823
2;1;0;-1;1972;6;-1;-1;1972;48.077601666666666;-5.29418;11.100000381469727;2;144.0;142;0;0;0;-1;121919.118225097;68.5583
2;1;0;-1;-1;1;-1;-1;504;48.074128333333334;-5.290091666666667;12.199999809265137;2;136.10000610351562;141;0;0;0;-1;121999.963378906;80.8452
1;1;0;-1;889;4;-1;-1;889;48.073705;-5.28958;11.100000381469727;2;139.10000610351562;140;0;0;0;-1;122010.239715575;10.2763
1;1;0;-1;1651;2;-1;-1;1651;48.07289166666666;-5.288515;11.600000381469727;2;136.8000030517578;140;0;0;0;-1;122030.559326171;20.3196
1;1;0;-1;-1;3;-1;-1;889;48.07125666666666;-5.2865166666666665;11.100000381469727;2;140.60000610351562;140;0;0;0;-1;122070.240234375;39.6809
1;1;0;-1;-1;1;-1;-1;1651;48.07037833333333;-5.285421666666666;11.399999618530273;2;134.8000030517578;141;0;0;0;-1;122090.559570311;20.3193
1;1;0;-1;889;2;-1;-1;889;48.06872166666667;-5.283298333333334;12.100000381469727;2;133.5;140;0;0;0;-1;122130.24029541;39.6807
1;1;0;2248;-1;0;-1;-1;1651;48.067901666666664;-5.282286666666667;11.199999809265137;2;138.0;142;0;0;0;-1;122150.558013915;20.3177
2;1;0;-1;1972;2;-1;-1;1972;48.06757;-5.281873333333333;11.699999809265137;2;144.10000610351562;142;0;0;0;-1;122159.118041992;8.56
2;1;0;-1;-1;5;-1;-1;479;48.066676666666666;-5.280835;11.699999809265137;2;136.0;143;0;0;0;-1;122179.297973632;20.1799
1;1;0;-1;-1;3;-1;-1;1649;48.06531666666667;-5.279346666666667;11.600000381469727;2;139.5;143;0;0;0;-1;122210.498016357;31.2
1;1;0;-1;154;4;-1;-1;154;48.064455;-5.27835;11.800000190734863;2;143.5;142;0;0;0;-1;122230.640045166;20.142
2;1;0;2306;-1;0;-1;-1;1972;48.062371666666664;-5.275886666666667;11.699999809265137;2;148.8000030517578;140;0;0;0;-1;122279.118469238;48.4784
1;1;0;-1;-1;1;-1;-1;1649;48.06023166666667;-5.273271666666667;11.5;2;137.3000030517578;140;0;0;0;-1;122330.497741699;51.3793
2;1;0;-1;479;2;-1;-1;479;48.058998333333335;-5.271815;11.199999809265137;2;140.6999969482422;141;0;0;0;-1;122359.297729492;28.8
2;1;0;-1;1247;6;-1;-1;1247;48.05810833333334;-5.270736666666667;11.600000381469727;2;141.10000610351562;140;0;0;0;-1;122379.778381347;20.4807
1;1;0;2235;-1;0;-1;-1;1649;48.057673333333334;-5.270215;12.399999618530273;2;146.89999389648438;141;0;0;0;-1;122390.498077392;10.7197
1;1;0;-1;-1;1;-1;-1;154;48.056808333333336;-5.269206666666666;12.100000381469727;2;145.39999389648438;140;0;0;0;-1;122410.639129638;20.1411
2;1;0;-1;-1;1;-1;-1;479;48.05643666666667;-5.26875;11.699999809265137;2;137.10000610351562;141;0;0;0;-1;122419.298187255;8.6591
2;1;0;-1;-1;5;-1;-1;1247;48.055553333333336;-5.267743333333334;12.199999809265137;2;144.60000610351562;141;0;0;0;-1;122439.777679442;20.4795
1;1;0;-1;1634;4;-1;-1;1634;48.055128333333336;-5.26725;11.199999809265137;2;143.10000610351562;140;0;0;0;-1;122450.098114013;10.3204
1;1;0;2190;-1;0;-1;-1;154;48.05419333333333;-5.26612;11.300000190734863;2;132.39999389648438;144;0;0;0;-1;122470.637878417;20.5398
2;1;0;2241;-1;0;-1;-1;479;48.053825;-5.265711666666666;12.0;2;152.10000610351562;139;0;0;0;-1;122479.297729492;8.6599
2;1;0;-1;1247;4;-1;-1;1247;48.05294166666667;-5.26467;11.0;2;139.3000030517578;142;0;0;0;-1;122499.777679442;20.4799
2;1;0;-1;-1;3;-1;-1;470;48.051273333333334;-5.26285;11.5;2;150.3000030517578;141;0;0;0;-1;122539.056793212;39.2791
1;1;0;-1;844;4;-1;-1;844;48.05083;-5.2623516666666665;12.300000190734863;2;145.89999389648438;140;0;0;0;-1;122549.039154052;9.9824
2;1;0;-1;-1;3;-1;-1;1247;48.050375;-5.261815;11.399999618530273;2;142.8000030517578;141;0;0;0;-1;122559.778320311;10.7392
1;1;0;-1;1634;2;-1;-1;1634;48.04991833333333;-5.261241666666667;11.699999809265137;2;138.5;140;0;0;0;-1;122570.097808837;10.3195
2;1;0;-1;470;2;-1;-1;470;48.048715;-5.259763333333333;11.199999809265137;2;141.60000610351562;141;0;0;0;-1;122599.056884765;28.9591
1;1;0;-1;844;2;-1;-1;844;48.045721666666665;-5.25636;11.800000190734863;2;137.10000610351562;140;0;0;0;-1;122669.038604736;69.9817
2;1;0;-1;-1;5;-1;-1;1249;48.039995;-5.249813333333333;11.300000190734863;2;142.10000610351562;142;0;0;0;-1;122799.820373535;130.7818
2;1;0;-1;-1;1;-1;-1;1972;48.03915;-5.2488866666666665;11.5;2;137.8000030517578;141;0;0;0;-1;122819.104248046;19.2839
2;1;0;-1;1248;4;-1;-1;1249;48.037378333333336;-5.246886666666667;12.199999809265137;2;143.89999389648438;141;0;0;0;-1;122859.821777343;40.7175
1;1;0;-1;1591;4;-1;-1;1591;48.03699;-5.2464466666666665;11.399999618530273;2;150.3000030517578;142;0;0;0;-1;122868.957000732;9.1352
1;5;-1;-1;-1;-1;-1;-1;83;-1;-1;-1;0;-1;-1;-1;-1;-1;0;122888.74029541;19.7833
1;1;0;-1;-1;3;-1;-1;150;48.036015;-5.245406666666667;11.699999809265137;2;142.89999389648438;141;0;0;0;-1;122890.518280029;1.778
1;1;0;-1;835;4;-1;-1;835;48.035185;-5.24446;12.0;2;144.0;141;0;0;0;-1;122908.797546386;18.2793
2;1;0;-1;-1;3;-1;-1;1248;48.03475666666667;-5.243988333333333;11.399999618530273;2;142.60000610351562;142;0;0;0;-1;122919.801330565;11.0038
1;1;0;-1;-1;3;-1;-1;1591;48.034346666666664;-5.243545;12.0;2;141.6999969482422;142;0;0;0;-1;122928.941101073;9.1398
2;1;0;-1;2005;4;-1;-1;2005;48.033865;-5.243001666666666;12.300000190734863;2;137.89999389648438;143;0;0;0;-1;122939.980773925;11.0397
1;1;0;-1;150;2;-1;-1;150;48.033385;-5.2425;11.199999809265137;2;142.39999389648438;143;0;0;0;-1;122950.517456054;10.5367
2;1;0;-1;520;4;-1;-1;520;48.03293333333333;-5.242031666666667;11.699999809265137;2;146.5;141;0;0;0;-1;122960.380889892;9.8634
1;1;0;-1;-1;3;-1;-1;835;48.03258833333334;-5.24166;11.600000381469727;2;142.89999389648438;141;0;0;0;-1;122968.781005859;8.4001
2;1;0;-1;1248;2;-1;-1;1248;48.03206;-5.24109;11.5;2;145.0;140;0;0;0;-1;122979.797485351;11.0165
1;1;0;-1;1591;2;-1;-1;1591;48.03167166666667;-5.240648333333334;11.899999618530273;2;140.60000610351562;140;0;0;0;-1;122988.957214355;9.1597
2;1;0;-1;-1;3;-1;-1;2005;48.03121;-5.240101666666667;11.300000190734863;2;141.60000610351562;140;0;0;0;-1;122999.996734618;11.0395
1;1;0;-1;-1;1;-1;-1;150;48.03078;-5.239605;11.899999618530273;2;141.6999969482422;141;0;0;0;-1;123010.518066406;10.5213
