channelNumber;id;NavStatus;SlotOffset;SlotNumber;STO;SlotIncrement;KeepFlag;TS;Lat;Lon;Sog;thresholdSog;Course;Heading;ChangeHeading;RepeatIndicator;SpecialManoeuvre;AISVersion;toa;DiffToa
2;3;0;-1;-1;-1;8059;1;68;49.44546666666667;-4.458633333333333;12.0;2;238.0;238;0;0;0;-1;1097763.059234618;0.0
1;1;0;-1;-1;1;-1;-1;411;47.982416666666666;-5.990033333333334;12.600000381469727;2;154.0;154;0;0;0;-1;1133351.997863769;35588.9386
2;1;0;-1;-1;1;-1;-1;829;47.981833333333334;-5.9896;12.600000381469727;2;154.0;154;0;0;0;-1;1133363.139801025;11.1419
1;1;0;-1;1187;4;-1;-1;1186;47.9813;-5.989216666666667;12.5;2;154.0;154;0;0;0;-1;1133372.658935546;9.5191
1;1;0;-1;1963;2;-1;-1;1962;47.893766666666664;-5.926533333333333;12.699999809265137;2;153.0;154;0;0;0;-1;1135013.339447021;1640.6805
2;1;0;-1;-1;3;-1;-1;816;47.86343333333333;-5.90535;12.699999809265137;2;154.0;154;0;0;0;-1;1135582.779510498;569.4401
1;3;0;-1;-1;-1;6953;1;1175;47.8629;-5.904966666666667;12.699999809265137;2;155.0;154;0;0;0;-1;1135592.357269287;9.5778
2;1;0;-1;1582;2;-1;-1;1581;47.862316666666665;-5.90455;12.600000381469727;2;154.0;154;0;0;0;-1;1135603.178619384;10.8214
1;1;0;-1;-1;3;-1;-1;1925;47.86185;-5.904216666666667;12.699999809265137;2;154.0;154;0;0;0;-1;1135612.356872558;9.1783
1;1;0;2254;-1;0;-1;-1;1190;47.8244;-5.8791;12.600000381469727;2;157.0;156;0;0;0;-1;1136312.760681152;700.4038
2;1;0;-1;-1;3;-1;-1;1521;47.82391666666667;-5.8788;12.600000381469727;2;157.0;156;0;0;0;-1;1136321.568237305;8.8076
1;1;0;-1;-1;5;-1;-1;1903;47.82338333333333;-5.87845;12.600000381469727;2;157.0;156;0;0;0;-1;1136331.758148193;10.1899
2;1;0;-1;-1;1;-1;-1;43;47.822783333333334;-5.8781;12.600000381469727;2;158.0;156;0;0;0;-1;1136342.177001952;10.4189
2;1;0;-1;-1;5;-1;-1;794;47.82168333333333;-5.877433333333333;12.600000381469727;2;157.0;156;0;0;0;-1;1136362.201293945;20.0243
1;1;0;-1;1195;6;-1;-1;1193;47.82115;-5.877116666666667;12.600000381469727;2;157.0;156;0;0;0;-1;1136372.84121704;10.6399
2;1;0;2257;-1;0;-1;-1;78;47.80318333333334;-5.866366666666667;12.699999809265137;2;157.0;156;0;0;0;-1;1136703.118347167;330.2771
2;1;0;-1;-1;3;-1;-1;1526;47.801;-5.865;12.699999809265137;2;157.0;156;0;0;0;-1;1136741.697845458;38.5795
1;1;0;-1;-1;5;-1;-1;1916;47.800466666666665;-5.86465;12.699999809265137;2;157.0;157;0;0;0;-1;1136752.119812011;10.422
1;1;0;-1;-1;5;-1;-1;1176;47.79828333333333;-5.863366666666667;12.699999809265137;2;157.0;157;0;0;0;-1;1136792.376983642;40.2572
1;1;0;-1;1918;4;-1;-1;1917;47.79718333333334;-5.862733333333333;12.699999809265137;2;158.0;156;0;0;0;-1;1136812.143859862;19.7669
2;1;0;2225;-1;0;-1;-1;834;47.79221666666667;-5.859683333333333;12.699999809265137;2;156.0;155;0;0;0;-1;1136903.257263183;91.1134
2;1;0;-1;-1;7;-1;-1;809;47.789033333333336;-5.85755;12.699999809265137;2;156.0;155;0;0;0;-1;1136962.581970214;59.3247
2;1;0;-1;-1;5;-1;-1;1525;47.784733333333335;-5.854583333333333;12.800000190734863;2;154.0;156;0;0;0;-1;1137041.678588867;79.0966
1;1;0;-1;409;4;-1;-1;408;47.7831;-5.853533333333333;12.699999809265137;2;156.0;156;0;0;0;-1;1137071.903656005;30.2251
1;1;0;-1;1927;6;-1;-1;1926;47.78091666666667;-5.852133333333334;12.800000190734863;2;156.0;156;0;0;0;-1;1137112.384094238;40.4804
1;1;0;-1;1894;2;-1;-1;1893;47.66343333333333;-5.7800666666666665;12.600000381469727;2;157.0;155;0;0;0;-1;1139271.477844238;2159.0938
2;1;0;-1;-1;3;-1;-1;41;47.66283333333333;-5.779716666666666;12.600000381469727;2;157.0;155;0;0;0;-1;1139282.103912353;10.6261
1;1;0;-1;-1;3;-1;-1;1903;47.413016666666664;-5.619233333333334;11.899999618530273;2;155.0;151;0;0;0;-1;1144071.718048095;4789.6141
1;1;0;-1;402;2;-1;-1;401;47.29091666666667;-5.5361;11.699999809265137;2;153.0;149;0;0;0;-1;1146491.663787841;2419.9457
2;1;0;-1;790;4;-1;-1;789;47.290416666666665;-5.535783333333334;11.699999809265137;2;154.0;150;0;0;0;-1;1146501.997497558;10.3337
